CT,ValHar1,HarNgn1,CtyNgn1,Values1,ProNgn1,ValHar2,HarNgn2,CtyNgn2,Values2,ProNgn2,ValHar3,HarNgn3,CtyNgn3,Values3,ProNgn3,Slope,Intercept,MixedHarNgn123
+7*24+20*31-16*21,0.33119123762649894,1.0825795156113218,,,1.06,0.08589576159419718,1.5296439011270222,,,1.06,0.08946533997770138,1.2972173807691763,,,1.06,-4.325347128258007e-05,1.236028454774335,1.2774941083898854
+1*12*27*30,0.25047396299455416,1.3122852718433669,PAN_VIP_ADS_PVP,0.332100060009937_0.26017073646105354_0.34764386302691763_0.3145981166384084,1.2304868190491265,0.23579617758419438,1.5197669189247667,,,1.06,0.15367841112634908,1.292491903607847,PGC,0.22881699906444758,0.8963414634146342,-0.00012408316135623974,1.4201131378882852,1.3675373853866393
+1*2*27*33,0.18887721072261376,1.240712412382693,VIP_ADS_PAN_PVP_VOS_ASM,0.21809805486589157_0.3076048870028837_0.2395679203708626_0.233465029540091_0.20322631511178135_0.2682451285573176,1.2476158409312739,0.18887721072261376,1.518220725584423,,,1.06,0.10613758986587607,1.224318346258469,C32_PGC,0.17277802865227126_0.15283536033818845,0.9598287627954001,-0.00012606738428961868,1.4174207344391627,1.3149616613723325
+1*12*12*27*33,0.3830211408328618,1.3219298027748954,PAN_ADS,0.4503535344635883_0.48495606104885,1.2824965872895495,0.36643594690261005,1.5048283843324517,,,1.06,0.2315756454362325,1.2722031018760196,VMD,0.26046844378955086,0.7549019607843137,-8.571982832226933e-05,1.3758692506217096,1.3592894561121922
+6*7+8*9-12*13,0.5852750696832358,1.1642073612022188,,,1.06,0.4994893888234374,1.4917707361480428,HVH,0.5159221880126253,0.921904761904762,0.5614824081447397,1.3694650690701615,,,1.06,-2.91775634118661e-05,1.1948844416850724,1.3277215380869483
+11+14+17-2-3-13,2.2874001329705607,1.1605288306534334,HHS_TSC,2.636847161767216_2.38101549870704,1.5833256188891198,1.384962853283156,1.4913418261827052,HHS_TSC_FIT_KHG,2.38101549870704_1.4066658354288801_2.636847161767216_1.6796047119495294,1.3921625849591042,1.384962853283156,1.3424563909131375,HHS_TSC_FIT_KHG,2.38101549870704_1.4066658354288801_2.636847161767216_1.6796047119495294,1.3921625849591042,-7.172112623222594e-05,1.34249583024756,1.3174557223863477
+14+17+17-2-3-13,1.3723274361827638,1.1471970281550068,HHS_ITA_TSC_KHG,2.636866936249197_1.8947743461960047_1.4195838610875486_1.6355056398313481,1.4815881177648658,1.384962853283156,1.4913418261827052,HHS_ITA_TSC_KHG,2.636866936249197_1.8947743461960047_1.4195838610875486_1.6355056398313481,1.4815881177648658,1.317693709411315,1.3436678884586306,HHS_ITA_TSC_KHG_VIP,2.636866936249197_1.8947743461960047_1.4195838610875486_1.6355056398313481_1.3474213816583192,1.3981460306925793,-7.350115000735447e-05,1.3487728221452453,1.3120728240177484
+1*2*12*27*30,0.35105326621369004,1.2978442160573462,ADS_PAN,0.4193286932852048_0.38386314859412435,1.2824965872895495,0.30329116072060747,1.4893206510352677,,,1.06,0.29818127732067506,1.236297248533246,,,1.06,-8.708196734308579e-05,1.3772993621760186,1.332846079939589
+1*12*26*27,0.24821378042090225,1.3682914489847369,PAN_ADS,0.2732048805133424_0.3381001338564231,1.2824965872895495,0.22614580636740592,1.4889380427867442,,,1.06,0.1486698755486462,1.24706257726455,PGC,0.22629667216749405,0.8963414634146342,-0.00013698409726306982,1.4296098600244878,1.3609500673256871
+13*20+14*26-13*22,1.1277158321031142,1.082271786701734,ASM_TNI_DXS_AAT_HAH,1.3031567957178716_1.1365514570441457_1.2222662490540406_1.424867550536134_1.153866817324892,1.351332254452218,0.9809740305063424,1.4876233317272827,ASM_TNI_DXS_AAT_HAH_ITC_CTI_APH_DPG,1.2222662490540406_0.992047656559669_1.0714457515719658_1.424867550536134_1.0108184490346868_1.002753526196671_1.153866817324892_1.3031567957178716_1.1365514570441457,1.3212620363799894,0.8107601646728531,1.3174089266750975,,,1.06,-9.188437184446871e-05,1.4620615566971242,1.2737440484824922
